rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
1,7216-EWTRS,0.9481,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 核心流失原因分析
1. **合同类型**：客户选择月付月制，对价格敏感度较高，可能寻求更优惠的方案。
2. **累计消费金额**：月消费金额较高，客户可能在寻找更高性价比的服务。
### 针对性挽留措施
1. **提供优惠方案**：针对合同类型，可以提供一年期的合约优惠，包括固网+30%的月费减免或赠送一定期的的家庭服务包。
2. **增加消费福利**：为达到当前消费金额，提供额外的增值服务或优惠，如15%的有线宽带提速或新上线的高清电视服务。
3. **加强在线安全服务**：针对客户在线安全服务使用的较高需求，提供升级后的安全服务包，包括恶意软件防护、防火墙增强等。
4. **优惠支付方式**：优化支付方式，提供更便捷的电子支付方式，如信用卡分期、分期付款计划。
5. **专属客户经理跟进**：安排一位专属客户经理与客户进行一对一沟通，了解其具体需求并提供个性化解决方案。
### 优先级建议
三、**优先级1**：提供优惠方案 -> 优先级1：增加消费福利 -> 优先级3：加强在线安全服务 -> 优先级4：优惠支付方式 -> 优先级5：专属客户经理跟进
注：根据实际情况灵活调整优先级，针对客户具体情况提供最合适的解决方案。"
2,1699-TLDLZ,0.9386,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"客户ID: 1699-TLDLZ
核心流失原因分析：
1. **在网时长较长（16个月）**：表明客户对当前服务较为满意，但可能已经习惯了当前的消费水平，缺乏新的使用需求或服务提升。
2. **月消费金额较低（19.7元）**：客户可能认为目前的资费标准不可以支撑更多的服务需求，导致其对服务价值感知不足。
针对性挽留措施：
1. **提升其对现有服务的使用价值感知**：通过推荐更符合其使用习惯的增值服务或优惠套餐，让客户感受到更高的服务价值。
2. **提供个性化服务体验**：根据客户的具体使用场景，提供更贴近需求的定制化服务，如优化网络服务体验等。
3. **延长合约期限优惠**：提供延长原本两年合约期限的优惠，降低客户因更换服务提供商可能产生的不确定性。
4. **加强情感维系**：开展以差异化服务体验为主的活动，如专属客户经理定期回访、节日关怀等，增强客户归属感。
5. **及时反馈其反馈**：对客户提出的每一项建议或反馈都给予及时响应和反馈，提高客户对品牌的信任度。
优先级建议：
三、**提升其对现有服务的使用价值感知**（最高优先级）：通过推荐更符合其使用习惯的增值服务或优惠套餐，让客户感受到更高的服务价值。
三、**提供个性化服务体验**（次优先级）：根据客户的具体使用场景，提供更贴近需求的定制化服务，如优化网络服务体验等。
三、**延长合约期限优惠**（第三优先级）：提供延长原本两年合约期限的优惠，降低客户因更换服务提供商可能产生的不确定性。
4. **加强情感维系**（第四优先级）：开展以差异化服务体验为主的活动，如专属客户经理定期回访、节日关怀等，增强客户归属感。
5. **及时反馈其反馈**（最低优先级）：对客户提出的每一项建议或反馈都给予及时响应和反馈，提高客户对品牌的信任度。
通过以上措施，我们希望能有效提高客户对现有服务的满意度，降低其流失的可能性。"
3,4800-VHZKI,0.9361,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,"挽留方案：
一、**核心流失原因分析**：
- 合同类型：Month-to-month（0.4083）：该客户为月付用户，缺乏长期合同的约束力，易产生跳槽心理。
- 在网时长(月)：1（0.2013）：新用户在初期往往容易因不熟悉服务特点或使用习惯而选择离开。
二、**针对性挽留措施**：
- **提供长期合约优惠**：为该客户提供一定时间内的月付转年付或合约优惠，降低其短期内取消服务的可能性。
- **增强在线安全服务感知**：通过增加服务演示、优惠套餐等方式，提高客户对在线安全服务的实际体验和满意度。
- **增加专属客服关怀**：安排专属客服定期回访，了解客户需求，解决使用过程中的疑问，同时提供个性化的优惠活动。
- **开展新用户专属优惠活动**：通过增加月消费金额、免费体验或赠送小礼品等方式，增加用户粘性。
- **优化支付方式**：改进支付流程，提供更便捷的支付方式（如在线支付、移动支付等），减少支付障碍。
三、**优先级建议**：
- **优先级1：提供长期合约优惠**：合同类型是首要因素，解决这一问题能有效降低流失率，建议优先执行。
- **优先级2：增强在线安全服务感知**：次之，通过增强服务感知，可以提升客户粘性。
- **优先级3：增加专属客服关怀**：通过定期回访，解决用户问题，提高客户满意度。
- **优先级4：开展新用户专属优惠活动**：通过优惠活动增加用户粘性，增强其使用意愿。
- **优先级5：优化支付方式**：最后优化支付方式，确保流程便捷，减少不必要的支付障碍。
综上所述，针对客户4800-VHZKI，建议首先通过提供长期合约优惠解决其最主要的流失风险因素，然后根据实际情况逐步推进其他措施。"
4,9667-TKTVZ,0.9346,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"个性化挽留方案：
一、核心流失原因分析：
1. 在网时长较短：客户在网时长仅为K个月，，，，（具体时长未知），，Z，Z，，，，），，，Z，Z，Z，），ZZ，Z，ZZZ，），ZZZZ），ZZ），ZZZZ），ZZ）ZZZ，Z，ZZZZZZZZ），ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ），ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ"
5,2380-DAMQP,0.9335,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"挽留方案：
### 核心流失原因分析：
1. 合同类型：客户签订的是两年合同即将到期，且对长在网时间久，对 long长对长可能导致其产生换新服务的想法。
2. 网络服务类型：客户偏爱光纤服务，其他服务未选择，说明客户对对觉得当前服务已能满足需求。
4. 月消费金额：月 consumption金额偏低，可能客户可能对该服务感到不满而考虑离网。
### 针对性客户个性化挽留措施：
1. 提供优惠方案：提供续签服务的，并长在网期间享半年免费或折扣，以提高客户续签意愿。
2. 优化服务体验：针对客户偏爱光纤服务的特点，开展网络优化活动，提高客户体验感。
4. 提升客户价值：根据客户当前的的月消费金额较低，提高其消费频率和金额，提高客户粘性。
5. 定期关怀：定期与客户进行沟通，了解客户需求和需要解决的问题。
5. 加强宣传：加强现有服务的宣传力度，增加客户对该服务的满意度。
优先级建议：
1. 提供优惠方案
4. 优化服务体验
5. 提升客户价值
5. 定期关怀
5. 加加强宣传
根据此客户实际情况，优先考虑采取优惠方案和优化服务体验措施。"
6,9420-LOJKX,0.9287,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"个性化挽留方案：
### 核心流失原因分析
1. **月消费金额较低**：客户当前的消费金额仅为99.1元，这可能表明客户认为当前套餐性价比不高，导致其考虑离开。
2. **合同类型为Month-to-month**：月付月结的合同类型容易让客户在不满意的条件下轻易取消服务，增加了流失的风险。
### 针对性挽留措施
1. **提供优惠套餐**：可以提供包括更优惠的月租费或增加额外服务（如增加流量/通话时长/宽带速度）的套餐，以提升客户对当前服务的认可度。
三、**延长合同周期**：建议客户签订6个月或更长时间的合约，以此减少因短期合同带来的取消可能性。
三、**主动关怀与咨询**：安排客服团队主动联系客户，了解其需求并提供个性化服务建议，增强客户粘性。
4. **赠送额外福利**：为挽留客户，可以提供免费或优惠的额外服务（如免费安装、延长保修期等）作为附加价值。
5. **定期优惠活动**：定期推出针对长期客户的优惠活动，如节假日或生日特别优惠等，增加客户感知价值。
### 优先级建议
一、**优先提供优惠套餐和延长合同周期**：这两项措施能直接提升客户的经济满意度和合同稳定性，是挽留该客户的核心措施。
二、**主动关怀与咨询**：通过深入了解客户需求，提供个性化服务，增强客户粘性，是提高挽留成功率的重要手段。
二、**赠送额外福利和定期优惠活动**：这两项措施作为辅助手段，可以在客户对服务产生疑虑时提供额外支持，增强客户忠诚度。"
7,9633-DENPU,0.9271,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"挽留方案：
一、**核心流失原因分析：**
- 技术支持服务成本较高，可能超出客户的预期。
- 月消费金额较低，可能导致客户认为性价比不高。
- 在网时间较长，客户忠诚度高，但续费意愿可能降低。
二、**针对性挽留措施：**
- **提供技术支持优惠：** 为客户提供半年或一年的技术支持服务优惠，如降低费用或提供额外服务（如优先响应、额外服务次数等）。
- **增加消费金额：** 通过推出套餐升级方案，增加可选服务（如高速宽带、额外流量包等），帮助客户提高月消费额，增加其对套餐的满意度和续费意愿。
- **合同类型调整：** 与客户协商，将当前的month-to-month合同转换为固定期限合同（如12个月），以增加客户对长期服务的承诺感。
- **定制化服务：** 根据客户的具体需求提供个性化服务，如家庭网络优化、设备维护等，提升客户的使用体验。
- **情感维系：** 定期通过电话或短信与客户沟通，了解其使用情况和需求变化，增强客户的归属感。
三、**优先级建议：**
- 首要优先实施“提供技术支持优惠”：此措施直接针对主要风险因素之一，且见效较快。
- 其次优先实施“增加消费金额”：帮助客户提高月消费额，提升整体满意度。
- 然后考虑“合同类型调整”，以增加客户长期稳定性。
- 最后考虑“定制化服务”和“情感维系”，以进一步增强客户黏性。"
8,5553-AOINX,0.9269,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"挽留方案：
一、核心流失原因分析：
1. 月消费金额偏低导致客户感知性价比不高（贡献度：504.2%）
2. 在网时长过月)较短，客户黏性较低（贡献度：6%）
3. 累计消费金额偏高导致客户可能感负担重，可能会寻求更优惠的方案（贡献度：51.44）
优先. 客户在网安全服务偏好较高，可能对感当前套餐不符合需求（贡献度：5.206）
优先级建议：
三、优先级 1: 提升客户感知性价比
三、优先级 2: 增强客户在网时长
5. 优先级  3: 调整计费模式降低客户负担
三针对性挽留措施：
1. 推出年度套餐优惠活动，客户可享更低的月均费用，同时赠送部分价值高的增值优惠权益
1. 开启专属客户经理服务，定期跟进客户需求并长服务周期，提供个性化的关怀与服务
5. 调整网络服务到期提醒机制，及时提醒客户续签服务以减少因忘记续签导致的的流失
5. 增强网络服务安全设置的灵活性客户可以根据自身需求调整安全设置以降低可能的顾虑
5. 针对客户累计消费金额偏高的可能需求推出高预付优惠活动客户可以预付一年费用以交换更高的套餐优惠及进一步降低客户的的感知负担"
9,3549-ZTMNH,0.9202,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,"### 客户挽留方案
#### 核心流失原因分析：
1. **合同类型**：客户面临两年期服务即将到期，可能寻求更换更优惠的套餐或运营商。
2. **在网时长**：客户已使用服务12个月，对运营商的忠诚度有所降低，可能在寻找更符合需求的服务。
#### 针对性挽留措施：
1. **延长合约优惠**：提供续约优惠，例如免费延长合约期或提供小额现金返利。
2. **个性化套餐推荐**：根据客户的使用习惯（月消费24元），推荐更符合其需求的套餐。
3. **增值服务赠送**：赠送一定期限的网络服务或其他增值服务，提高产品吸引力。
4. **关怀电话**：安排客户经理主动联系，通过一对一沟通了解客户需求，提供个性化解决方案。
5. **即时折扣**：提供即时折扣优惠，立即生效，激发客户立即续约的意愿。
#### 优先级建议：
三、**优先级1**：延长合约优惠（高优先级，有助于直接延长客户合约期）
三、**优先级2**：个性化套餐推荐（中优先级，根据客户需求提供针对性解决方案）
三、**优先级3**：关怀电话（中优先级，通过情感联系增强客户忠诚度）
4. **优先级4**：增值服务赠送（低优先级，增加客户额外价值感）
5. **优先级5**：即时折扣（低优先级，作为最后手段确保客户留存）
通过上述方案，我们旨在提高客户满意度，延长合约期，从而降低客户流失风险。"
10,4701-MLJPN,0.9192,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:38:15,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"### 个性化挽留方案
#### 核心流失原因分析
1. **月合同制**：客户采用的是月付模式，没有长期合同约束，容易转投其他运营商。
2. **在网时长**：客户在网时间已接近一年，缺乏新的营销活动或优惠政策刺激其继续使用。
#### 针对性挽留措施
三、**提供长期合约优惠**：建议提供一年或更长时间的合约，降低月消费金额，例如将当前的55.25元/月优惠至50元/月，同时赠送免费的网络设备或小礼品，增加客户黏性。
2. **增值服务捆绑**：结合客户当前使用的服务（DSL），提供多种增值服务如家庭安防、智能音箱等，增加其服务的附加值。
二、**在线安全服务升级**：鉴于客户当前的安全服务为“正常”状态，可考虑提高其在线安全服务级别，提供额外的防护措施，减少客户的担忧。
4. **定期关怀电话**：定期安排客户服务团队联系客户，了解客户需求，解决其潜在问题，增强客户对服务的满意度。
5. **促销活动参与**：邀请客户参与即将到来的促销活动，如节日优惠、家庭套餐优惠等，以吸引其继续使用现有服务。
#### 优先级建议
三、**提供长期合约优惠**：优先级最高，直接降低客户流失风险。
2. **增值服务捆绑**：次优先，增强服务的综合价值。
三、**在线安全服务升级**：较低优先级，但有助于提升客户体验。
4. **定期关怀电话**：较低优先级，作为持续维护客户关系的手段。
5. **促销活动参与**：最低优先级，作为辅助手段增加客户参与度。
通过以上措施，可有效提高客户满意度和忠诚度，降低客户流失率。"
