rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
1,7216-EWTRS,0.9481,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"核心流失原因分析：
1. 合同类型：月付合约（Month-to-month）使得客户随时可能取消服务，缺乏安全感。
2. 低消费金额和短在网时长：月消费仅100.8元且使用时间仅1个月，显示出客户对服务的感知价值较低。
针对性挽留措施：
1. 提供合同续约优惠：为客户提供续约优惠，如3个月或6个月合约，享受更低的月费或额外的服务补贴。
2. 加强网络体验优化：针对光纤网络质量进行专项检查和优化，确保客户体验良好，提升服务感知价值。
3. 定制化营销活动：基于客户当前消费水平，提供定制化的营销活动，如套餐升级、额外赠品等。
4. 专属客户经理：指派一位专属客户经理跟进，提供一对一服务，及时解决客户问题，并定期进行关怀。
优先级建议：
三、提供合同续约优惠：最高优先级，合同类型是导致客户流失的首要因素，立即采取行动可以有效留住客户。
三、加强网络体验优化：次高优先级，网络体验的改善能够显著提升客户满意度，有助于长期留存。
三、定制化营销活动：中优先级，通过提供更符合客户需求的优惠方案，可以进一步巩固客户的忠诚度。
4. 专属客户经理：最低优先级，作为长期客户关系管理的手段，适用于已采取其他措施仍未能挽留的客户。"
2,1699-TLDLZ,0.9386,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"### 个性化挽留方案
#### 核心流失原因分析
1. **在网时长**：客户在网时间长达16个月，显示出对产品的较高依赖性。
2. **月消费金额较低**：月消费19.7元，表明客户对当前套餐价值感知不足。
3. **技术支持服务偏高**：可能对客户服务存在不满意的体验。
#### 针对性挽留措施
1. **提升套餐价值感知**：提供价值更高的套餐，增加增值服务（如流量叠加、网络优化服务）。
2. **优化支付方式**：提供更便捷的支付方式，如移动支付等，减少支付环节的不便。
3. **加强客户服务体验**：降低或优化技术支持服务费用，提供个性化的客服支持，提升客户感知和满意度。
4. **推出专属优惠**：提供专属折扣或延长合约期优惠，增加客户粘性。
5. **增加网络服务**：提供免费的网络服务或优化现有网络服务，增强客户体验。
#### 优先级建议
三、**提升套餐价值感知**（优先级：1）：通过增加套餐内流量、通话时长等资源，提高客户对套餐价值的感知。
三、**优化支付方式**（优先级：2）：简化支付流程，提供便捷的支付手段，减少支付环节的不便。
三、**优化客户服务体验**（优先级：3）：降低或优化技术支持服务费用，提供个性化服务以提升客户满意度。
4. **推出专属优惠**（优先级：4）：提供专属折扣或延长合约期优惠，增加客户粘性。
5. **增加网络服务**（优先级：5）：提供免费的网络服务或优化现有网络服务，进一步提升客户体验。
通过以上措施，针对性地解决客户流失的核心原因，提高客户满意度，降低流失率。"
3,4800-VHZKI,0.9361,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,"### 个性化挽留方案
#### 核心流失原因分析
1. **合同类型：Month-to-month**：客户可能因合同周期短而感到不安心，担心随时可能被取消服务。
2. **在线安全服务（偏高）**：尽管在线安全服务可能对客户很重要，但费用较高可能成为其流失的一个关键原因。
3. **在网时长(月)：1**：新客户对于服务的不熟悉可能导致初期的疑虑和不安。
#### 针对性挽留措施
1. **延长合同周期**：提供3个月或6个月的固定周期合同优惠，降低客户的不安全感。
2. **增加在线安全服务的灵活性**：调整在线安全服务的定价模式，提供按月付费的选项，降低一次性费用带来的压力。
3. **增加客户关怀**：进行首次回访，提供一对一的使用指导和服务解答，增加客户对服务的熟悉和信任。
4. **推出优惠活动**：提供新业务套餐优惠，包括在线安全服务和其他增值服务，提高客户对套餐的满意度。
5. **简化支付方式**：提供更加便捷的支付方式，如手机支付或自动支付，减少客户支付上的障碍。
#### 优先级建议
三、**优先级1：延长合同周期**（最大影响，最低成本）
三、**优先级2：增加在线安全服务的灵活性**（中度影响，中度成本）
三、**优先级3：增加客户关怀**（直接影响，低至中等成本）
4. **优先级4：推出优惠活动**（较间接影响，中等成本）
5. **优先级5：简化支付方式**（最小影响，最低成本）
通过这些具体措施，可以针对客户的具体情况有针对性地进行挽留，提高挽留成功率。"
4,9667-TKTVZ,0.9346,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"### 个性化挽留方案
#### 1. 核心流失原因分析
1. **在网时长较短**：客户在网时长仅为K个月，，，，，说明客户对当前服务的满意度不高。
2. **合同类型为月付**：客户选择的是无固定合约的月付模式，，，，，，，，，，，。
3. **偏低的技术支持服务**：客户对技术支持的需求较高，但未得到充分满足。
####  t. 针对性性的挽留措施
二、**措施一：延长合约期限**
- 提出半年或一年合约优惠方案，如套餐费月付降低至50.35元ZZ，，。
-。Z。
-Z，，Z。
Z 。
-ZZ，Z
Z 。
ZZ
ZZ
Z。
Z
ZZ
Z
ZZ
Z
ZZZZ
Z
ZZ
Z
ZZZ
ZZZ
ZZZZZ
Z
ZZZZZZ
Z
ZZ
Z
ZZZZZZZ
Z
ZZZZ
Z
Z
ZZZZZZZZ
Z
ZZZZZZ
Z
ZZZZZZZZZ
Z
ZZZZZZZ
Z
ZZZZZZZZZZ
Z
ZZZZZZZZZ
Z
-
ZZZZZZZZZZ
Z
ZZZZZZZZZZ
Z
ZZZZZZZZZZZZ
Z
ZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZ
Z
-
ZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZ
Z
-
ZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZZZZZZZZZZZZZZZ
Z
ZZZZZZZZZZZZZ"
5,2380-DAMQP,0.9335,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"### 客户ID: 2380-DAMQP 挽留方案
#### 核心流失原因分析
1. **长期合约约束**：客户已经签署两年期合约，当前阶段即将到期，客户可能因续约问题考虑更换运营商。
2. **在线安全服务使用率高**：客户频繁使用在线安全服务，可能对该服务感到负担，导致不满或寻找性价比更高的替代方案。
#### 针对性挽留措施
1. **提供续约优惠**：
- **优惠策略**：提供两年合约续签的优惠活动，如减免部分月租费、赠送额外流量或分钟数等。
- **操作步骤**：通过短信、电话或邮件向客户发送续约优惠信息，强调优惠的有效期限和条件。
2. **简化在线安全服务**：
- **调整服务包**：重新评估客户在线安全服务的使用情况，提供更加灵活或经济实惠的服务套餐。
- **操作步骤**：与客户沟通，了解其具体需求，设计出性价比更高的服务方案。
3. **增强服务体验**：
- **提升服务质量**：加强客户服务团队的响应速度和专业能力，确保客户在遇到问题时能够得到及时有效的帮助。
- **操作步骤**：定期进行客户满意度调查，快速响应客户反馈，提供有针对性的服务改进措施。
4. **个性化赠品/优惠**：
- **礼券与礼品**：为客户提供一定金额的消费券或实物礼品，以增加客户黏性。
- **操作步骤**：通过线上渠道或邮件发送赠品信息，设置一个吸引客户的优惠活动时间窗。
5. **提前续约激励**：
- **提前续约奖励**：鼓励客户提前续约，提供额外的优惠或奖励。
- **操作步骤**：提前向客户发送续约提醒，并告知提前续约的专属优惠政策。
#### 优先级建议
一、**优先级一**：**提供续约优惠**（高优先级，直接解决问题的核心因素）。
三、**优先级二**：**简化在线安全服务**（中优先级，解决使用率高的问题）。
三、**优先级三**：**增强服务体验**（中优先级，提高客户满意度，减少流失风险）。
4. **优先级四**：**个性化赠品/优惠**（低优先级，增强客户粘性）。
5. **优先级五**：**提前续约激励**（低优先级，作为额外的挽留手段）。
通过上述措施，有效降低客户流失概率，提升客户满意度和忠诚度。"
6,9420-LOJKX,0.9287,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 个性化挽留方案
#### 核心流失原因分析
1. 月消费金额：99.1元（贡献度: 7.2241%）"
7,9633-DENPU,0.9271,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"个性化挽留方案
一、核心流失原因分析
1. 技术支持服务成本偏高。
2. 月消费金额较低，未达到预期收益。
3. 合同类型为月付月制，缺乏长期承诺感。
二、针对性挽留措施
1. 调整技术支持服务费用：提供为期6个月的免费技术支持服务，降低客户的感知成本。
* 提升月消费金额：推荐更高性价比的套餐，包含更优质的服务，月消费金额提升至75元，增加客户的满意度与忠诚度。
3. 改变合同类型：将月付月制改为预付半年或年费，锁定长期收益，增强客户粘性。
4. 提供网络升级服务：结合客户网络使用情况，推荐升级为光纤网络服务，提高网络体验，提升客户满意度。
5. �聒服务加强客户关怀：定期进行客户回访，了解客户需求，提供个性化服务，增强客户粘性。
四、优先级建议
三、调整技术支持服务费用（优先级1）。
* 提升月消费金额（优先级2）。
三、改变合同类型（优先级3）。
4. 提供网络升级服务（优先级4）。
5. �聒服务加强客户关怀（优先级5）。
优先级建议基于挽留措施与客户流失风险因素的相关性，优先解决客户感知成本偏高的问题，再关注月消费金额与合同类型，最后是网络体验与客户关怀。"
8,5553-AOINX,0.9269,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"###
标题：个性化挽留方案 - Client 5. 55. 55. 5
一、核心流失原因分析：
1. 高额月费：客户月消费金额为 14.8元，，，，，导致其对风险感知较高。
1. 服务体验欠佳：客户在网时长较短，，，，，，，长，长，，，长，长，长，，长，，，长，长，长，：66个月，，长，长。
4. 对合同期内无优惠：客户为 1年合同，但未享受任何优惠或激励。
二
二二针对性挽留措施：
1. �骗局约续签优惠：提供以1长期合约续签折扣，，长，，长，长，长，，长以降低客户感知风险。
2. 优化服务体验：提供 2高价值的服务或功能，提升客户满意度，如。
4. 个性化营销策略：依据客户消费习惯定制营销策略，，，长以提高客户粘性。
5. 费用调整：根据采阶梯式月费调整方案，逐步降低客户感知的月费压力。
二
五年代建议挽留措施优先级建议：
三、调整月费：优先级1优先级1优先级
4. 优化服务体验：其次优先级
5. 赢利期续签优惠：再次优先级
4. 个性化营销策略：最后优先级
请注意，以上措施需根据实际情况灵活调整，以确保客户挽留策略的有效性。"
9,3549-ZTMNH,0.9202,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,"方案概述：针对客户ID因:32,的,: 9.4%%4) 的流失概率，主要因: 吸引合同类型、在网时长、月消费金额等
核心流失原因分析：
1. 合同类型：Two year（合同类型为两年期，客户已进入最后六个月，流失风险较高。
2. 在网时长：5 year（客户在网网络已超过一年，可能长，客户对长稳定性较差。
3. 月消费金额： 24.5（月消费较低，客户价值相对，长较低。
针对性挽留措施：
二、提供高期优惠：对整合同同期优惠、月消费减免等优惠措施，签订一年期新合同时赠送6个月免费服务或额外流量。
2. 激励套餐升级：推荐客户升级至快或高高网络套餐，提升网速 and 支持更多设备连接，提用户体验。
0. 年费优惠方案：提供年消费优惠或年费减免优惠，提高客户对费稳定性。
5. 客户关怀活动：举办客户关怀活动，提供免费试用新产品 or试体验 new款服务。
5. 专属客户经理：安排专属客户经理定期跟进客户需求 and 解答问题咨询，提供个性化服务体验。
优先级建议：
二、提供期优惠（优先级：A级，措施针对客户流失风险最高，优先级最高。
五. 专属客户经理（优先级：五级措施可客户关怀服务方面是优先级较高的一步。
五. 激励套餐升级或 年费优惠方案 优先级：五级措施针对客户具体需求和 提升客户价值方面较为重要，优先级比较靠。
五. 客户关怀活动 优先级：五级措施为一般客户关爱服务，优先级较低。"
10,4701-MLJPN,0.9192,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:03:01,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"### 核心流失原因分析
1. **在网时长较长**：客户在网时长已超过30个月，可能对当前套餐的满意度不高，寻求更好的服务或更低的费用。
2. **月消费金额较低**：以55.25元的月消费金额，客户可能认为套餐性价比不高，存在价格敏感性。
### 针对性挽留措施
1. **优惠套餐推荐**：提供为期3个月的月费减免优惠，例如将月费降至40元，并附带免费的在线安全服务，提升套餐性价比。
2. **免费试用更高套餐**：提供免费试用期，如2个月的100M宽带升级服务，同时赠送额外的线上娱乐资源，增加客户体验。
三、**延长合同周期**：建议客户签订长期合同（如12-24个月），并提供相应优惠，例如赠送免费的家用路由器或延长免费维修期。
4. **一对一客户关怀**：安排专人进行一对一的客户关怀服务，了解客户的实际需求和潜在不满点，并提供针对性的解决方案。
5. **定制化服务优惠**：根据客户使用习惯，定制化推荐适合的套餐组合，如包含视频通话、高速下载等增值服务，提升其使用体验。
### 优先级建议
三、**优惠套餐推荐** - 优先级1：针对客户当前的低消费金额，通过提供短期优惠增加客户的性价比感知，提高其留网意愿。
三、**延长合同周期** - 优先级2：通过提供长期合同优惠，锁定客户，降低其跳槽风险。
三、**免费试用更高套餐** - 优先级3：通过提供免费试用，提升客户对新套餐的了解和体验，增加其转换的动力。
4. **一对一客户关怀** - 优先级4：通过个性化服务，深入了解并解决客户的实际需求，增加客户的忠诚度。
5. **定制化服务优惠** - 优先级5：根据客户的具体需求提供定制化服务，进一步提升客户的满意度和忠诚度。"
