rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
1,7216-EWTRS,0.9481,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 客户挽留方案
#### 核心流失原因分析：
1. **合同类型**：客户采用的 Month-to-month 合同，缺乏稳定性，容易在价格波动时选择退出。
2. **累计消费金额**：月消费金额为 150.8 元，该消费水平居高不下，客户可能感受到较大的经济压力，从而考虑其他更为经济的替代方案。
3. **在网时长**：客户当前处于早期使用阶段，对网络产品的熟悉度和依赖度较低，导致其在短期内更容易被竞争对手吸引。
#### 针对性挽留措施：
1. **合同优惠方案**：提供半年至一年的固定合同优惠，如 15% 月消费降低 10.5%，以增加客户稳定性，减少月付模式的流失风险。
三、**个性化消费分析**：通过详细分析客户消费数据，提供针对性的建议，如优化套餐结构、合理提升消费体验等减少不必要的开支，从而降低经济压力。
三、**专属客户服务**：安排专属客户经理定期跟进，了解客户需求并提供专业建议。通过个性化服务增强客户粘性，提升客户体验感。
4. **在线安全服务优化**：根据客户需求调整安全服务配置，提高其满意度，降低因在线安全服务较高而产生的不满。
5. **网络体验优化**：针对客户使用情况优化网络服务，通过提速或增加特殊服务等方式提升客户满意度。
#### 优先级建议：
三、**合同优惠方案**：优先级为 1，针对客户当前主要流失风险因素进行针对性处理。
5. **专属客户服务**：优先级为 4，通过个性化服务提升客户归属感。
三、**网络体验优化**：优先级为 3，该因素虽然重要，当前数据未能直接体现。
4. **在网时长**：优先级为 2，当前客户在网时长较短，该因素暂未直接影响。
三、**消费分析**：优先级为 2，通过优化消费方案降低客户经济压力。
通过上述策略的实施，客户流失概率显著降低，从而提高客户满意度和忠诚度。"
2,1699-TLDLZ,0.9386,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"个性化挽留方案：
一、核心流失原因分析：
- 在网时长(16个月)：客户在网长期内未享受到足够的服务增值，，导致对长期内对网服务的满意度下降。
- 技术支持服务（偏高）：客户对长期内对到的技术支持服务较多，但未享受到相应的服务支持报，导致对长期内对网服务的体验不佳。
- 月消费金额：客户目前的月消费金额较低，未能享受到较高的服务套餐，，导致对长期内对网服务的的价值感较低。
优先级建议：首先解决月消费金额较低问题，长期内技术人员支持服务偏多问题。
- 钒性服务体验提升：增加客户的技术支持次数和时间，提高服务体验感（优先级：1级1。
- 价值感提升：提升客户每月消费金额，增加客户对网服务的价值感（优先级：第三。
- �SUCCESS推广：增加客户对网套餐的选择项，增加客户对网服务的满意度和保留度（优先级：二。
- 挽留措施：
- 技术支持优化：增加客户每月的技术支持次数和时间，提升客户对网服务体验感。
- 服务套餐升级：提升客户当前的网套餐的月消费金额，增加客户对网服务的的价值感。
- 提供客户关怀：定期通过电话进行客户进行关怀，了解客户对网服务体验感和需求。
- SUCCESS推广：增加客户套餐选择项，增加客户对网服务的满意度和保留度。"
3,4800-VHZKI,0.9361,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,"### 个性化挽留方案
#### 核心流失原因分析
1. **合同类型：Month-to-month**：该客户为月付月制客户，缺乏长期承诺。
* **在线安全服务（偏高）**：该客户对在线安全服务的需求较高，但服务未达到预期。
* **在网时长(月)：****：客户在网时间较短，可能对电信产品认知不足。
#### 针对性挽留措施
1. **延长合约期限**：提供为期一年的合约优惠，降低月均消费至11.9，元，同时赠送价值 *10.的网络服务礼包，。
* **提升在线安全服务**：提供免费或优惠的在线安全服务升级包，包括病毒查杀、防火墙等功能，。
* **增加营销活动参与资格**：将该客户纳入更多营销活动参与资格，，如优惠套餐、积分兑换等。
* **
5. **优化账单体验**：优化账单显示方式，增加明细展示，提供账单试算器，帮助客户了解未来几个月的消费情况。
#### 优先级建议
* 第�优先：延长合约期限（延长月付合同用户周期，降低月均消费）
* 第二优先：提升在线安全服务（优化在线安全保障功能）
* 第第三优先：增加营销活动参与资格（提供更丰富的营销活动参与机会）
* 第第四优先：优化账单体验（优化账单显示方式，增加明细展示）
以上方案需结合客户实际情况灵活调整，确保措施切实可行有效。"
4,9667-TKTVZ,0.9346,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"个性化挽留方案：
一、**核心流失原因分析**：
- 在网时长较短：客户仅使用2个月，对服务的熟悉度和满意度尚低。
- 合同类型：当前为月付模式，客户可能因灵活性高而容易比较并选择其他更优惠的方案。
- 技术支持服务偏高：可能因频繁的技术问题导致客户体验不佳。
二、**针对性挽留措施**：
- **延长合约期限**：提供2-3个月的免费续约优惠，降低客户转网动机。
- **优化技术支持服务**：主动联系客户，了解其具体需求和使用体验，及时解决技术问题，降低客户流失风险。
- **增加体验套餐**：推出包含更多功能或更优惠的套餐，鼓励客户延长使用时长。
- **个性化营销**：根据客户月消费金额及使用习惯，定制个性化优惠方案，提高客户忠诚度。
- **支付方式优化**：提供电子支付方式，提高支付便捷性，减少因支付方式带来的不便。
三、**优先级建议**：
- **第一优先级**：延长合约期限，提供免费续约优惠。
- **第二优先级**：优化技术支持服务，解决客户技术问题。
- **第三优先级**：增加体验套餐，提供个性化营销方案。
- **第四优先级**：支付方式优化，提高客户支付便捷性。
通过以上方案，我们旨在提高客户满意度和忠诚度，降低客户流失风险。"
5,2380-DAMQP,0.9335,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"客户挽留方案：
一、核心流失原因分析：
- 合同类型：Two year，客户即将到期，面临续约压力。
- 在网时长：72个月，客户使用时间较长，对品牌忠诚度较高。
- 在线安全服务（偏高），表明客户对安全服务的重视程度较高，可能对现有套餐不满意。
二、针对性挽留措施：
- 优惠续约：提供两年期的续约优惠，如降低月消费金额或赠送额外服务，以增加续约意愿。
- 增值服务：为客户提供在线安全服务的免费试用期，确保其需求得到满足。
- 专属客服：建立专属客服团队，定期跟进客户需求，提供个性化解决方案。
- 信用积分：提供一定金额的信用积分，客户可用于购买任何电信产品或服务，增加客户粘性。
三、优先级建议：
- 首选优惠续约，通过降低续约成本以减少客户流失。
- 其次为专属客服，确保客户在续约过程中感受到关怀。
- 优先提供在线安全服务的免费试用期，以满足客户对安全服务的需求。
- 最后提供信用积分，作为预防性挽留措施。
通过以上措施，可以有效降低客户流失概率，提高客户满意度，增加客户粘性。"
6,9420-LOJKX,0.9287,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 挽留方案
#### 核心流失原因分析
1. 月消费金额偏高，导致客户可能寻求更经济的替代方案。
2. 合同类型为月付模式，缺乏长期承诺，客户容易因价格或服务调整更换提供商。
3. 在网时长相对较长，表明客户对当前服务的满意度有所下降。
#### 针对性挽留措施
1. **提供促销优惠**：鉴于客户月消费较高，提供一次性折扣或连续几个月的月费减免，以降低其经济负担。
三、**延长合约期**：建议客户签订更长期的合约，同时提供相应的续约优惠，增强客户粘性。
三、**优化网络服务**：鉴于客户选择光纤服务，可针对其使用场景提供优化建议或额外的服务包，确保其获得更优质的网络体验。
4. **个性化客户服务**：通过电话或在线聊天提供一对一的客户服务，深入了解客户需求并解决潜在问题，提高客户满意度。
5. **定期客户关怀**：制定定期跟进计划，及时了解客户需求和反馈，快速响应客户问题，提升客户体验。
#### 优先级建议
三、**提供促销优惠**：优先级最高，可立即实施，以降低客户的流失概率。
三、**延长合约期**：次优先级，结合客户当前的合约状态，适时提出更长期的合约为客户考虑。
三、**优化网络服务**：优先级中等，结合客户的使用情况，提供相应的优化建议或服务包。
4. **个性化客户服务**：优先级中等，通过客户关怀提前了解并解决潜在问题，提升客户满意度。
5. **定期客户关怀**：优先级最低，通过定期跟进计划确保客户始终感受到优质服务。
通过以上措施，可以有效降低客户流失率，提高客户满意度和保有率。"
7,9633-DENPU,0.9271,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"个性化挽留方案
一、核心流失原因分析
1. 技术支持服务偏高：客户支付了额外的技术支持费用，但可能未感受到相应的服务价值。
2. 月消费金额较低：客户当前的月消费金额为58.6元，明显低于行业内平均水平，导致对产品和服务的价值感知不足。
二优先级建议：依据风险因素的的重要程度，优先级从高到低依次为技术问题、月消费金额。
二针对性挽留措施
1. 调整技术支持服务模式
- 与客户进行一对一沟通，详细了解客户的技术问题和诉求，明确当前的服务内容是否满足需求。
- � 调整服务内容和费用结构，将目前的按需技术支援服务转变为每月固定的服务包，内容包括定期检查、故障响应等。
- 通过电话或在线会议的形式，向客户展示调整后的服务内容、预期效果和价值提升。
2. 2 如果客户仍认为服务内容不合理，可可考虑提供一个试用期（如3个月），在此期间内，如果客户觉得服务质量未达到预期，可以提供退款或降低费用的选择。
2. 2 优化服务流程，提高服务响应速度和质量，减少客户等待时间，提升客户满意度。
2. 提高月消费金额
- 重新评估并现有套餐的性价比，是否对于该客户，可以提供一个包含更丰富服务内容（如免费技术支持、家庭网络优化等）的新套餐，并提供适当的优惠措施（如首次购买折扣、连续订阅折扣等）以吸引客户。
- 通过电话、短信或邮件等方式向客户推介新的套餐方案，并提供一个专属的优惠码，方便客户办理。
5 与客户沟通新套餐的使用条件和权益，例如每月可多少次技术支持服务、免费的家庭网络优化等，并并强调这些服务与客户当前套餐的主要区别。
5. 考虑延长合同或提供续约优惠
- 对于月付用户，可以考虑提供优惠续约服务，如延长合同（如从月付转为一年期合同）或续约折扣（如续约期间每月优惠1元）等。
- 通过电话或电子邮件等方式向客户传达这一优惠信息，并重点强调续约后可享受到的更多服务和权益。
- 对此客户每月优惠5元，可以有效提升其月消费金额，同时降低其流失风险。
6. 定期跟进和反馈
- 建立定期跟踪机制，每月至少进行一次客户满意度调查，了解客户对套餐和服务的的满意度。
- 及时与客户沟通并解决其遇到的问题，提供个性化的服务和支持方案。
- 通过电话、短信或邮件等方式定期向客户反馈我们的服务改进情况和新业务动态，保持良好的互动沟通。"
8,5553-AOINX,0.9269,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"个性化挽留方案：
一、核心流失原因分析：
- 月消费金额：104.9元偏低，客户对套餐性价比感知较低。
- 在网时长：66个月，表明客户对当前套餐的满意度逐渐降低。
- 累计消费金额：6891.45元，表明客户对当前套餐的忠诚度在下降。
二、针对性挽留措施：
- 优惠合约套餐：提供为期一年的优惠合约套餐，月费降至90元，赠送1000M流量和50元话费，增加客户对套餐的满意度。
- 增值服务促销：推出在线安全服务免费试用优惠，体验期结束后，提供额外折扣，提升客户对在线安全服务的认可。
- 专属客户经理：分配一名客户经理跟进，了解客户需求并定期提供服务建议，增强客户归属感。
- 网络质量检查：进行一次上门检查，确保客户家中网络稳定，提升客户满意度。
三、优先级建议：
- 优：优惠合约套餐，提升客户对套餐的满意度；
- 次：增值服务促销，提升客户对在线安全服务的认可；
- 末：专属客户经理，增强客户归属感；
- 最后：网络质量检查，确保客户家中网络稳定。"
9,3549-ZTMNH,0.9202,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,"挽留方案:
一、核心流失原因分析
1. 合同类型：客户面临两年合约即将到期，续约意愿不强。
2. 月消费金额：客户当前消费水平较低，对服务感知不明显。
二、针对性挽留措施
1. 提供续约优惠：提供两年期合约到期后的续约优惠，如降低月消费、赠送一定金额的通信消费券或数据包等。
2. 增值服务捆绑：为客户推荐高性价比的增值服务，如在线安全服务、视频通话等，以增加客户的网络依赖度。
3. 优惠活动：推出促销活动，鼓励客户增加消费，提高其对套餐的粘性。
4. 个性化关怀：通过智能客服系统定期推送关怀信息，提升客户感知度，增加客户黏性。
5. 专属客服：为客户提供专属客服，一对一解决客户问题，提高客户满意度。
三、优先级建议
三、首选：提供续约优惠（优先级：1）
三、顺位：增值服务捆绑（优先级：2）
三、顺位：优惠活动（优先级：3）
4. 顺位：个性化关怀（优先级：4）
5. 末位：专属客服（优先级：5）
以上方案需根据客户实际情况进行调整，以确保措施的有效性。建议立即执行，及时挽回客户。"
10,4701-MLJPN,0.9192,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:51:32,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"### 个性化挽留方案
#### 核心流失原因分析
1. **在网时长较长（31个月）**：表明客户在当前服务上已经习惯了较长时间的使用，且未见显著的不满或需求变化。
2. **合约类型为月付月结（Month-to-month）**：这种类型的服务通常意味着客户可以在短时间内快速转向其他竞争性服务。
#### 针对性挽留措施
1. **延长合约优惠**：提供一年甚至更长时间的合约优惠，例如首年月费降低20%。这不仅能增加客户的粘性，还能提供实际的经济激励。
2. **增加增值业务捆绑**：为客户提供价值较高的增值业务，如高速宽带升级、免费的在线安全服务、额外的流量包等，以提升其服务体验和满意度。
3. **个性化关怀服务**：安排专门的服务经理与客户进行一次面对面或视频会议的形式的深度沟通，了解客户需求和痛点，提供定制化的解决方案。
4. **优惠活动通知**：定期发送关于套餐优惠、节日促销、特别赠品等信息，让客户感受到公司的贴心与关注，增加其继续使用的可能性。
5. **快速响应机制**：建立快速响应机制，确保客户在遇到问题时能够迅速获得帮助，提高客户满意度。
#### 优先级建议
三、**优先级1：延长合约优惠** - 针对客户的月付月结合同，提供长期合约的好处，增加客户的长期使用意愿。
三、**优先级2：增值业务捆绑** - 提供高价值的额外服务，以提升客户体验和感知价值。
三、**优先级3：个性化关怀服务** - 通过一对一的沟通了解客户的需求并提供个性化解决方案，增强客户忠诚度。
4. **优先级4：优惠活动通知** - 定期提醒客户公司提供的各种优惠活动，让客户时刻感受到公司的关怀和价值。
5. **优先级5：快速响应机制** - 保证客户服务的高效性，提升客户的服务满意度。
通过以上具体措施，可以有针对性地解决客户的潜在流失问题，提高客户满意度和忠诚度，从而降低客户流失率。"
