rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
1,7216-EWTRS,0.9481,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"**客户ID: 7216-EWTRS
流失概率: 64.8% 风险等级: 高风险
**挽留方案:
**一、核心流失原因分析
1. 合同类型：Month-to-month（贡献度: 60.6%）：月付月合同可能让客户担心费用的不确定性。
2. 累计消费金额：155.8（贡献度: 44.1%）：高额消费可能是客户关注点，可能对价格敏感。
二、针对性挽留措施
1. �(""**优惠升级包**"")：提供半年或一年的固定费率优惠套餐，降低客户每月费用的波动性，同时保持高消费的稳定性。
2. 实付**解方案**：向客户介绍分期付款或自动转账等支付方式，降低支付门槛，提升消费体验。
二、**延长合约期**：建议是否愿意签订更长期的合约，并提供相应的优惠措施如赠送服务或设备。
4. **免费安全服务优化**：针对在网时长短的情况，，提供更全面的安全服务优化方案，提升服务质量。
5. **专属客户经理对接**：安排专属客户经理面对面了解客户需求，制定个性化的服务策略。
三、优先级建议
优先级：1 > 1 > 3 > 4 >
优先考虑""优惠升级包""，因为这能直接降低客户的的费用压力，同时在一定程度上上绑定客户，减少流失风险。其次是""支付方案""和""延长合约期""，这两项措施可以进一步锁定客户，确保他们留在网络中。最后是""安全服务优化""和""专属客户经理对接""。这两项措施更注重提升客户体验，可以在客户已经对向选择后进一步加强关系。"
2,1699-TLDLZ,0.9386,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"挽留方案：
一、**核心流失原因分析**：
- 在网时长较长，表明客户已经对当前套餐感到满意，但未找到进一步提升价值的服务或产品。
- 技术支持服务偏高，可能意味着客户在使用过程中存在较多问题，未能得到及时有效的解决。
- 低月消费金额（19.7元）表明客户对现有套餐性价比不高，且未获得额外增值业务的吸引。
二、**针对性挽留措施**：
- **提供个性化的套餐升级方案**：结合客户使用习惯，推荐适合其需求的套餐升级方案，如增加流量、语音通话等，确保其月消费金额增加至25-30元左右，以提高套餐的性价比。
- **推出专属优惠和服务**：为该客户提供专属的优惠活动，例如免费或优惠技术支持服务，快速响应客户需求，提升客户体验。
- **发送关怀短信**：通过关怀短信提醒客户即将到期的合同，提供续约优惠信息，同时询问客户是否需要增加额外服务或套餐升级，提升续约率。
- **提供专属技术支持**：加强与客户的沟通，通过电话或在线客服提供专属技术支持，解决客户在使用过程中遇到的问题，提高客户满意度。
- **赠送额外服务或礼品**：为该客户提供额外服务或礼品作为挽留措施，例如赠送一定额度的流量或通话时长，增加客户的粘性。
三、**优先级建议**：
- 首先，优先考虑提供个性化的套餐升级方案和专属优惠，通过增加月消费金额和提升套餐性价比来提高客户的续约意愿。
- 其次，加强与客户的沟通，通过关怀短信和专属技术支持，提高客户的满意度和忠诚度。
- 最后，提供额外服务或礼品作为挽留措施，增强客户的粘性。
通过这些具体可操作的措施，我们希望能够有效挽留该客户，降低流失风险。"
3,4800-VHZKI,0.9361,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,"**挽留方案**
**核心流失原因分析**
1. **合同类型**：客户选择的是月付月结的合同类型，这表明客户当前的消费意愿较低，且存在较高的取消风险。
2. **在线安全服务偏好**：客户对在线安全服务的需求较高，但目前提供的套餐中并未包含此项服务。
**针对性挽留措施**
1. **提供优惠套餐**：为客户定制一个包含在线安全服务的优惠套餐，并设置为期一年的固定月租，可以降低其取消风险。报价可以较当前套餐有20%左右的优惠。
2. **增加在线安全服务**：单独针对在线安全服务进行优惠或赠送，增加该服务的吸引力。
三、**延长合约期**：与客户沟通，建议其选择更适合的合约期，如6个月或12个月的合约期，以降低其取消的可能性。
4. **增加捆绑服务**：提供与其他服务的捆绑优惠，如宽带或电视服务，增加客户的依赖度。
5. **个性化关怀**：提供专属客服，定期进行关怀电话，了解客户需求，提供个性化服务建议。
**优先级建议**
三、**优先级1**：提供优惠套餐，结合在线安全服务优惠，通过降低月消费金额和增加服务吸引力来提高客户满意度。
三、**优先级2**：延长合约期，通过增加合约期的稳定性降低客户的取消风险。
三、**优先级3**：增加捆绑服务，通过增加客户的依赖度来提高其对电信服务的忠诚度。
4. **优先级4**：提供个性化关怀，通过一对一的服务增强客户关系。
5. **优先级5**：单独增加在线安全服务，虽然对降低流失概率的直接效果较低，但可以作为额外的吸引力。
以上方案需根据客户的实际情况适当调整，确保措施有效并提高客户留存率。"
4,9667-TKTVZ,0.9346,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"### 挽留方案
#### 1. 核心流失原因分析
1.  **在网时长**：客户在网时长较短（K个月），），，表明客户对现有服务满意度较低。
2.  **合同类型**：客户采用Month-to-month合同，缺乏长期承诺，容易在短期内考虑更换服务商。
3.  **技术支持服务**：客户对技术支持服务需求较高，可能对当前的服务质量不满。
####  t. 针对性挽留措施
1.  **提供长期合约优惠**：提供月付转年付或长期合约的优惠，增加客户合同稳定性。"
5,2380-DAMQP,0.9335,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"个性化挽留方案
一、核心流失原因分析：
1. 合同类型：两年期合同即将到期，导致客户可能选择寻找更优惠的的方案。
二. 在网时长(月)：客户在网时间长较短，可能导致对对长对对视对对长对对的，对客户对对 long年可能 对网络服务不满意。
3. � cumulative消费金额：客户累计消费金额较高，，客户对可能对对 for可能客户对对 for可能客户对 对网络服务的较为敏感。
二操作的的针对性挽留措施：
1. 优化合同到期策略：提供续约优惠活动，，如如 for 1客户可以在合同到期时选择续约，并，以 5优惠可以包包括：每月减免1元或 月或，提供 for 3延期优惠：续约期满后前可 提供给客户延期优惠，。
2. 优化客户服务体验：针对客户反馈的的问题进行改进，，提供网络质量检测报告及提供 for  years客户可以了解网络质量情况，。
3. 提升客户满意度：针对客户对服务满意度调查结果的结果进行改进，提高服务质量，。
4. 提供客户专属优惠：针对客户累计消费金额较高的，提供客户专属优惠如，例如：赠送月流量或 月优惠套餐等。
5. 优化客户关怀：通过节日或 月度关怀活动等方式进行客户关怀，。
优先级建议：
二、优先级：合同到期策略优优于其他措施，。
4. 优第二优先级：客户服务体验改进优优于其他措施。
5. 优第三优先级：提升客户满意度优优于其他措施。
4. 优先后优先：提供客户专属优惠优优于其他措施。
4. 优先级最低：客户关怀优优于其他措施。"
6,9420-LOJKX,0.9287,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"挽留方案：
一、核心流失原因分析：
1. 月消费金额较低：99.1元，客户对当前产品性价比的感知较低。
2. 合同类型为 Month-to-month：客户缺乏长期绑定的承诺，对服务稳定性存在疑虑。
3. 在网时长较短：15个月，较新客户，对产品和服务的认可度尚处于待提升阶段。
二、针对性挽留措施：
1. 提供套餐升级服务：鉴于客户当前消费金额较低，可为其提供更高性价比的升级套餐，例如将光纤宽带升级至1000M套餐，月费提升至129元，同时享受200M宽带半年免费体验，提升客户对产品的感知价值。
三、拆分账单方式：针对客户使用信用卡自动扣费的支付方式，建议采用分期付款方式，例如将月费拆分为3期，每期33元，使客户的支付压力得到缓解，增加其对服务的继续使用意愿。
3. 长期合约优惠：与客户签订长期合约，例如一年或两年，可享受套餐价格优惠，降低客户对月付费的敏感度，并保证其长期使用意向。
4. 专属客户服务：为客户提供专属客户经理服务，定期进行走访，了解客户需求，提供个性化建议，建立长期稳定的关系。
5. 服务满意度调查：定期进行服务满意度调查，收集客户意见和建议，持续优化服务质量和产品功能，提高客户满意度。
三、优先级建议：
二、首选措施：提供套餐升级服务，提升客户对产品性价比的感知。
二、次选措施：拆分账单方式，缓解客户的支付压力。
3. 优先考虑长期合约优惠，保障客户长期使用意向。
4. 专属客户服务：根据客户的具体情况进行安排，以建立稳定的关系。
5. 服务满意度调查：作为长期提升客户满意度的手段，应持续进行。"
7,9633-DENPU,0.9271,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"个性化挽留方案：
一、核心流失原因分析：
1. 技术支持服务偏高，表明客户可能对当前的服务质量或响应速度不满意。
2. 月消费金额维持在较低水平，客户可能存在对产品或服务价值感知不足的问题。
3. 月合约制客户可能对长期合约有顾虑，担心成本增加或服务被限制。
二、针对性挽留措施：
1. 优化技术支持服务：针对此客户的痛点，提供更有针对性的技术支持服务，例如增加服务响应速度、简化问题处理流程等，以提升客户满意度。
2. 提升产品价值感知：通过增加一些增值服务，如家庭网络诊断、智能设备推荐等，帮助客户更好地理解和使用产品，提高其对产品价值的感知。
三、提供灵活合约选择：建议客户选择半年或一年的合约，这样既可以减少月度支出，又能在一定程度上降低客户对长期合约的担忧。
4. 针对性优惠方案：提供专属折扣或优惠券，降低客户更换其他运营商的成本，例如提供前3个月的月费减免或一次性的免费服务。
5. 专属客户经理：指派一名经验丰富的客户经理密切跟进该客户的情况，定期与客户沟通，了解其需求和问题，及时给予帮助和支持。
三、优先级建议：
1. 优先解决技术支持服务问题，提高客户满意度。
2. 在优化技术支持服务的基础上，尝试提升产品价值感知，增加客户对产品和品牌的信任。
3. 针对客户的具体情况，提供灵活的合约选择，以减少客户的顾虑。
4. 在以上措施取得良好效果的情况下，再考虑提供专属折扣或优惠券，进一步降低客户的更换成本。
5. 指派专属客户经理，以建立长期稳定的合作关系。"
8,5553-AOINX,0.9269,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"挽留方案：
一、核心流失原因分析（2. 1. 月消费金额较高（514..4，，客户对消费敏感度较高）。
2. 在网时长较长，客户对对留意愿下降）。
4. 累计消费金额较高，客户对敏感度较高）。
4. 合同类型：长期固定。
5. 网络服务类型：光纤宽带，客户可能对对)
5. � 支付方式：电子支票，客户对对留意愿较低）。
5. 针对性针对性挽留措施（5. 1. 优化优惠套餐：提供月消费金额降低至1. 1.4部）的的折扣套餐，降低客户月消费敏感度）。
三、优先级建议：高）。
4. 优化服务质量：针对该客户提供更优的服务，确保客户满意度）。
5. 优先级建议：中）。
4. 个性化服务：提供专属客服团队，提供定制化服务）。
优先级建议：high）。
4. 优惠活动：提供限时优惠活动）。
优先级建议：high）。
4. 建立信任：加强与客户沟通，解决客户顾虑）。
优先级建议：medium）。
4. 签订长期合约：提供长期合约优惠。
优先级建议：medium）。
4. 优惠支付：提供支付方式优惠，如如减少客户支付意愿）。
优先级建议：low）。
4. 拨打客户电话进行确认客户满意程度。
优先级建议：high）。
4. 定期回访：进行定期回访客户，了解客户最新需求）。
优先级建议：medium）。
4. 服务升级：提供更优服务或提高客户满意度）。
优先级建议：medium）。
4. 长期合约：提供长期合约优惠或减少客户流失风险）。
优先级建议：high）。
4. 优惠服务：提供优惠服务）。
优先级建议：medium）。
4. 建立更紧密关系：进行提升客户忠诚度）。
优先级建议：high）。
4. 个性化营销：进行提供个性化营销策略）。
优先级建议：high）。
4. 优惠套餐：提供多优惠套餐）。
优先级建议：high）。
4. 定期回访：进行定期回访客户）。
优先级建议：medium）。
4. 服务优化：进行服务优化以提高客户满意度）。
优先级建议：high）。
4. 优惠活动：进行优惠活动以提高客户满意度）。
优先级建议：high）。
4. 迕客户信任：进行与客户建立更紧密关系）。
优先级建议：high）。"
9,3549-ZTMNH,0.9202,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,"挽留方案：
一、核心流失原因分析：
1. 合同类型（贡献度: 6.6%）
- 在 in长（贡献度:  5.09）
- 月消费金额（贡献度:  5.5）
二. �Key Information:
- � 网龄: 3年
- 月消费金额: 24.1
- 合同类型: Two year
二. Personalized Retention Strategy:
二、针对客户情况，提出以下针对性挽留措施：
二、1优先优先挽留措施：
二、1 offer期优惠措施：
二、期优惠方案：提供一次性免单服务费，元（，元）或期优惠措施：
二、期优惠措施：减少合期年限至 year to 1，）或延长合期年限至 year to  两年）以优先挽留措施：
二、优先挽留措施：提供更优惠的套餐，元套餐）或提供更优质服务以元套餐） or优先挽留措施：
二、优先挽留措施：提供额外优惠权益，元） or优先挽留措施：
5. 优先挽留措施：提供更优惠的套餐，元）或提供更优质服务以元） 优先挽留措施：
5. 优先挽留措施：提供更优惠优惠方案或更多优惠权益
优先挽留措施：
二、优先挽留措施：提供更优惠优惠方案 or一、挽留措施优先级建议
优先挽留措施：
二、期优惠措施建议
优先挽留措施：
优先挽留措施：
优先挽留措施：
优优先挽留措施：
优先挽留措施：
优优先挽留措施：
优先挽留措施：
优优先挽留措施：
优优先挽留措施：
优优先挽留措施：
优优先挽留措施：
优优先挽留措施："
10,4701-MLJPN,0.9192,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 13:58:05,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"**客户挽留方案：**
**一、核心流失原因分析**
1. **在网时长较短**：客户在网时长仅为3个月，表明客户对服务的满意度有待提升。
2. **合同类型为月付**：客户选择了月付服务，可能会因为价格敏感性而考虑放弃。
**二挽留措施**
1. **推出优惠套餐**：提供3个月的月付套餐优惠，降低客户的月费至50元/月（优惠后月费降低），提升客户的消费体验。
2. **提供额外服务**：赠送在线安全服务，增强客户的安全感，提高客户满意度。
3. **延长合约期限**：提供6个月或1年合约，设置相应的优惠政策，如6个月合约优惠至45元/月，1年合约优惠至42元/月，以增加客户在网时长。
4. **个性化服务**：根据客户使用习惯，提供个性化的服务建议，如推荐适合其需求的套餐、服务等，提升服务体验。
5. **情感关怀**：通过电话或短信关怀的方式，及时与客户沟通并了解其需求及疑虑，提升客户对公司的感知。
**三、优先级建议**
**1. **优先级1：**推出优惠套餐（提供优惠的月付套餐）和提供额外服务（赠送在线安全服务）。
三、**优先级2：**延长合约期限（提供6个月或1年合约）。
5. **优先级3：**个性化服务（提供个性化的服务建议）和情感关怀（提供电话或短信关怀）。
**注**：以上措施需根据公司实际情况灵活调整，确保措施的可行性和有效性。"
